strand	strat	chr	gene_name	gene_id	end	gene_type
-	87055658	2	AC092651.1	ENSG00000266931	87076060	unprocessed_pseudogene
+	87075653	2	AC092651.2	ENSG00000287931	87118267	lncRNA
-	87118534	2	ANAPC1P3	ENSG00000230395	87120980	unprocessed_pseudogene
+	87125198	2	AC083899.1	ENSG00000204745	87196629	unprocessed_pseudogene
+	87194786	2	MIR4771-1	ENSG00000264793	87194859	miRNA
-	87221113	2	CENPNP1	ENSG00000233671	87222488	processed_pseudogene
-	87249095	2	LINC01955	ENSG00000281477	87253750	lncRNA
+	87301658	2	DBF4P3	ENSG00000271097	87302251	processed_pseudogene
-	87311460	2	AC068279.2	ENSG00000287763	87348728	lncRNA
+	87338511	2	IGKV3OR2-268	ENSG00000233999	87339035	IG_V_gene
-	87379880	2	AC068279.1	ENSG00000224881	87380767	processed_pseudogene
-	87439523	2	LINC01943	ENSG00000280721	87459044	lncRNA
+	87454781	2	CYTOR	ENSG00000222041	87636740	lncRNA
+	87455476	2	AC133644.2	ENSG00000284879	87767359	lncRNA
-	87477495	2	AC133644.1	ENSG00000273445	87478034	lncRNA
-	87565828	2	PAFAH1B1P1	ENSG00000214354	87566764	processed_pseudogene
+	87629755	2	MIR4435-1	ENSG00000265507	87629834	miRNA
+	87654890	2	RPS14P5	ENSG00000225933	87655243	processed_pseudogene
+	87700984	2	ANAPC1P4	ENSG00000234231	87738105	transcribed_unprocessed_pseudogene
+	87748087	2	PLGLB2	ENSG00000125551	87759476	protein_coding
-	87755960	2	RGPD2	ENSG00000185304	87825952	protein_coding
+	87824942	2	MTATP8P2	ENSG00000229604	87825143	processed_pseudogene
+	87968609	2	NDUFB4P7	ENSG00000225428	87968971	processed_pseudogene
+	87972656	2	WBP1P2	ENSG00000233205	87973082	processed_pseudogene
-	87980714	2	ANAPC1P5	ENSG00000275597	87992858	unprocessed_pseudogene
-	88003008	2	AC108479.2	ENSG00000288437	88003743	unprocessed_pseudogene
-	88016354	2	RNU2-63P	ENSG00000222724	88016547	snRNA
+	88016780	2	AC108479.1	ENSG00000287670	88021451	lncRNA
-	88027205	2	KRCC1	ENSG00000172086	88064252	protein_coding
+	88067825	2	SMYD1	ENSG00000115593	88113384	protein_coding
-	88082519	2	MIR4780	ENSG00000265003	88082599	miRNA
-	88122982	2	FABP1	ENSG00000163586	88128062	protein_coding
+	88170295	2	THNSL2	ENSG00000144115	88186636	protein_coding
-	88364695	2	MRPL45P1	ENSG00000232508	88365608	processed_pseudogene
-	88383494	2	RNU6-1168P	ENSG00000212133	88383597	snRNA
-	88414898	2	RNU6-1007P	ENSG00000252395	88415004	snRNA
+	88428078	2	RPL38P6	ENSG00000224291	88428615	processed_pseudogene
-	88446787	2	FOXI3	ENSG00000214336	88452693	protein_coding
+	88524649	2	TEX37	ENSG00000172073	88529585	protein_coding
+	88538720	2	AC104134.1	ENSG00000225420	88575610	lncRNA
-	88556741	2	EIF2AK3	ENSG00000172071	88627464	protein_coding
+	88627539	2	EIF2AK3-DT	ENSG00000234028	88631821	lncRNA
-	88690177	2	AC062029.1	ENSG00000287686	88691464	lncRNA
+	88691673	2	RPIA	ENSG00000153574	88750929	protein_coding
+	88765807	2	ANKRD36BP2	ENSG00000230006	88806612	transcribed_unprocessed_pseudogene
-	88811186	2	MALLP2	ENSG00000283270	88825207	transcribed_unprocessed_pseudogene
-	88811186	2	AC244205.1	ENSG00000240040	88861563	lncRNA
+	88812370	2	MIR4436A	ENSG00000265510	88812454	miRNA
-	88857161	2	IGKC	ENSG00000211592	88857683	IG_C_gene
-	88860568	2	IGKJ5	ENSG00000211593	88860605	IG_J_gene
-	88860886	2	IGKJ4	ENSG00000211594	88860922	IG_J_gene
-	88861221	2	IGKJ3	ENSG00000211595	88861258	IG_J_gene
-	88861525	2	IGKJ2	ENSG00000211596	88861563	IG_J_gene
-	88861886	2	IGKJ1	ENSG00000211597	88861923	IG_J_gene
+	88885397	2	IGKV4-1	ENSG00000211598	88886153	IG_V_gene
+	88897232	2	IGKV5-2	ENSG00000211599	88897784	IG_V_gene
-	88915081	2	IGKV7-3	ENSG00000197794	88915378	IG_V_pseudogene
-	88922328	2	PGBD4P5	ENSG00000225136	88922753	processed_pseudogene
-	88931666	2	IGKV2-4	ENSG00000253435	88932380	IG_V_pseudogene
-	88947301	2	IGKV1-5	ENSG00000243466	88947957	IG_V_gene
-	88966262	2	IGKV1-6	ENSG00000239855	88966767	IG_V_gene
-	88978468	2	IGKV3-7	ENSG00000243063	88979081	IG_V_gene
-	88992409	2	IGKV1-8	ENSG00000240671	88992931	IG_V_gene
-	89009982	2	IGKV1-9	ENSG00000241755	89010515	IG_V_gene
-	89019992	2	IGKV2-10	ENSG00000253278	89020686	IG_V_pseudogene
-	89027171	2	IGKV3-11	ENSG00000241351	89027731	IG_V_gene
-	89040224	2	IGKV1-12	ENSG00000243290	89040745	IG_V_gene
-	89045995	2	IGKV1-13	ENSG00000253497	89046466	IG_V_pseudogene
-	89078010	2	IGKV2-14	ENSG00000253265	89078784	IG_V_pseudogene
-	89085177	2	IGKV3-15	ENSG00000244437	89085787	IG_V_gene
-	89099859	2	IGKV1-16	ENSG00000240864	89100361	IG_V_gene
-	89117342	2	IGKV1-17	ENSG00000240382	89117844	IG_V_gene
-	89128724	2	IGKV2-18	ENSG00000254157	89129483	IG_V_pseudogene
-	89134975	2	IGKV2-19	ENSG00000253732	89135257	IG_V_pseudogene
-	89142574	2	IGKV3-20	ENSG00000239951	89143160	IG_V_gene
-	89159751	2	IGKV6-21	ENSG00000211611	89160366	IG_V_gene
-	89170775	2	IGKV1-22	ENSG00000253578	89171212	IG_V_pseudogene
-	89172022	2	IGKV2-23	ENSG00000253625	89172553	IG_V_pseudogene
-	89176328	2	IGKV2-24	ENSG00000241294	89177160	IG_V_gene
-	89192500	2	IGKV3-25	ENSG00000253202	89192752	IG_V_pseudogene
-	89196096	2	IGKV2-26	ENSG00000254098	89196829	IG_V_pseudogene
-	89203509	2	AC244255.1	ENSG00000277852	89203906	unprocessed_pseudogene
-	89213423	2	IGKV1-27	ENSG00000244575	89213928	IG_V_gene
-	89221698	2	IGKV2-28	ENSG00000244116	89222461	IG_V_gene
-	89234174	2	IGKV2-29	ENSG00000253998	89234912	IG_V_pseudogene
-	89244781	2	IGKV2-30	ENSG00000243238	89245596	IG_V_gene
-	89252211	2	IGKV3-31	ENSG00000253158	89252736	IG_V_pseudogene
-	89253571	2	IGKV1-32	ENSG00000253870	89254015	IG_V_pseudogene
-	89266494	2	IGKV1-33	ENSG00000242076	89268506	IG_V_gene
-	89275298	2	IGKV3-34	ENSG00000253860	89275787	IG_V_pseudogene
-	89286689	2	IGKV1-35	ENSG00000253461	89286973	IG_V_pseudogene
-	89295233	2	IGKV2-36	ENSG00000253487	89295455	IG_V_pseudogene
-	89297264	2	IGKV1-37	ENSG00000239862	89297785	IG_V_gene
-	89309898	2	IGKV2-38	ENSG00000253592	89310144	IG_V_pseudogene
-	89319625	2	IGKV1-39	ENSG00000242371	89320146	IG_V_gene
-	89330110	2	IGKV2-40	ENSG00000273962	89330429	IG_V_gene
+	89533185	2	AC006453.3	ENSG00000283427	89547106	unprocessed_pseudogene
-	89542842	2	LSP1P5	ENSG00000283196	89585652	transcribed_unprocessed_pseudogene
-	89622213	2	AC006453.1	ENSG00000283132	89640635	unprocessed_pseudogene
+	89662601	2	AC006453.2	ENSG00000283214	89662977	unprocessed_pseudogene
+	89666033	2	AC006453.4	ENSG00000283659	89683204	unprocessed_pseudogene
+	89851791	2	IGKV2D-40	ENSG00000251039	89852497	IG_V_gene
+	89862482	2	IGKV1D-39	ENSG00000251546	89862981	IG_V_gene
+	89872463	2	IGKV2D-38	ENSG00000254009	89872702	IG_V_pseudogene
+	89884740	2	IGKV1D-37	ENSG00000250036	89885216	IG_V_gene
+	89887022	2	IGKV2D-36	ENSG00000253127	89887247	IG_V_pseudogene
+	89895502	2	IGKV1D-35	ENSG00000232747	89895772	IG_V_pseudogene
+	89906757	2	IGKV3D-34	ENSG00000253501	89907246	IG_V_pseudogene
+	89913982	2	IGKV1D-33	ENSG00000239975	89916052	IG_V_gene
+	89928422	2	IGKV1D-32	ENSG00000253191	89928867	IG_V_pseudogene
+	89929701	2	IGKV3D-31	ENSG00000253999	89930202	IG_V_pseudogene
+	89936859	2	IGKV2D-30	ENSG00000239571	89937679	IG_V_gene
+	89947512	2	IGKV2D-29	ENSG00000243264	89948279	IG_V_gene
+	89959979	2	IGKV2D-28	ENSG00000242534	89960754	IG_V_gene
+	89968867	2	IGKV1D-27	ENSG00000224607	89969335	IG_V_pseudogene
+	89985922	2	IGKV2D-26	ENSG00000211623	89986702	IG_V_gene
+	89989987	2	IGKV3D-25	ENSG00000254097	89990221	IG_V_pseudogene
+	90004797	2	IGKV2D-24	ENSG00000241566	90005629	IG_V_gene
+	90009402	2	IGKV2D-23	ENSG00000254345	90009927	IG_V_pseudogene
+	90010741	2	IGKV1D-22	ENSG00000253365	90011184	IG_V_pseudogene
+	90021567	2	IGKV6D-21	ENSG00000225523	90022185	IG_V_gene
+	90038848	2	IGKV3D-20	ENSG00000211625	90039479	IG_V_gene
+	90046796	2	IGKV2D-19	ENSG00000253765	90047057	IG_V_pseudogene
+	90052581	2	IGKV2D-18	ENSG00000254220	90053372	IG_V_pseudogene
+	90069662	2	IGKV6D-41	ENSG00000211626	90070238	IG_V_gene
+	90082635	2	IGKV1D-17	ENSG00000242766	90083291	IG_V_gene
+	90100236	2	IGKV1D-16	ENSG00000241244	90100738	IG_V_gene
+	90114838	2	IGKV3D-15	ENSG00000224041	90115402	IG_V_gene
+	90121786	2	IGKV2D-14	ENSG00000254292	90122564	IG_V_pseudogene
+	90154073	2	IGKV1D-13	ENSG00000276566	90154574	IG_V_gene
+	90159840	2	IGKV1D-12	ENSG00000278857	90160335	IG_V_gene
+	90172802	2	IGKV3D-11	ENSG00000211632	90173414	IG_V_gene
+	90179889	2	IGKV2D-10	ENSG00000253906	90180587	IG_V_pseudogene
+	90190193	2	IGKV1D-42	ENSG00000211633	90190681	IG_V_gene
+	90209873	2	IGKV1D-43	ENSG00000242580	90210529	IG_V_gene
+	90220727	2	IGKV1D-8	ENSG00000239819	90221384	IG_V_gene
+	90234812	2	IGKV3D-7	ENSG00000228325	90235370	IG_V_gene
+	90309230	2	AC233263.2	ENSG00000275490	90309333	unprocessed_pseudogene
-	90315366	2	IGKV1OR2-118	ENSG00000270999	90315836	IG_V_pseudogene
-	90359809	2	AC233263.1	ENSG00000265897	90360032	processed_pseudogene
+	90365737	2	AC233263.6	ENSG00000281904	90367699	lncRNA
+	91578478	2	AC233266.1	ENSG00000230964	91578573	processed_pseudogene
+	91580336	2	AC233266.2	ENSG00000261600	91580863	lncRNA
+	91589494	2	AC116050.1	ENSG00000278131	91621421	unprocessed_pseudogene
-	91617160	2	LSP1P4	ENSG00000143429	91659972	transcribed_unprocessed_pseudogene
+	91674857	2	RNA5SP100	ENSG00000222835	91674966	rRNA_pseudogene
-	91684447	2	DRD5P1	ENSG00000184303	91685884	processed_pseudogene
-	91686102	2	AC027612.2	ENSG00000230572	91714745	transcribed_unprocessed_pseudogene
+	91723023	2	NKAIN1P2	ENSG00000271627	91723605	processed_pseudogene
+	91736726	2	AC027612.1	ENSG00000223703	91767439	unprocessed_pseudogene
-	91747940	2	KMT5AP2	ENSG00000232531	91748986	processed_pseudogene
-	91759462	2	AC027612.3	ENSG00000286698	91767701	lncRNA
+	91775944	2	GGT8P	ENSG00000236969	91781169	unprocessed_pseudogene
+	91817771	2	IGKV1OR2-1	ENSG00000235235	91818248	IG_V_pseudogene
+	91840601	2	ABCD1P5	ENSG00000214330	91843802	unprocessed_pseudogene
+	91859384	2	AC127391.1	ENSG00000237085	91859481	processed_pseudogene
+	91877969	2	PABPC1P6	ENSG00000227497	91880195	processed_pseudogene
-	91883076	2	SLC9B1P2	ENSG00000214329	91931714	transcribed_unprocessed_pseudogene
+	91940668	2	ACTR3BP2	ENSG00000226481	91942040	processed_pseudogene
+	91957436	2	CHEK2P3	ENSG00000234898	91963610	unprocessed_pseudogene
-	92006680	2	AC128677.1	ENSG00000235147	92007121	processed_pseudogene
-	92034522	2	IGKV1OR2-2	ENSG00000223816	92035000	unprocessed_pseudogene
-	94195806	2	BMS1P23	ENSG00000286156	94208379	transcribed_unprocessed_pseudogene
-	94575976	2	AL845331.2	ENSG00000261522	94587183	transcribed_unprocessed_pseudogene
+	94588522	2	AL845331.1	ENSG00000259916	94604573	protein_coding
-	94725674	2	CNN2P11	ENSG00000237383	94725935	processed_pseudogene
-	94734655	2	GXYLT1P7	ENSG00000227265	94735844	processed_pseudogene
+	94737337	2	CNN2P8	ENSG00000213355	94738249	processed_pseudogene
+	94750582	2	AC073464.2	ENSG00000234837	94751293	processed_pseudogene
-	94759259	2	CYP4F32P	ENSG00000223564	94760279	unprocessed_pseudogene
-	94760774	2	AC073464.1	ENSG00000232502	94761116	processed_pseudogene
-	94786688	2	SNX18P14	ENSG00000235571	94787261	processed_pseudogene
-	94791103	2	ANKRD20A8P	ENSG00000229089	94857282	transcribed_unprocessed_pseudogene
-	94846533	2	RNU6-1320P	ENSG00000212140	94846639	snRNA
+	94861362	2	SOWAHCP5	ENSG00000278631	94862667	processed_pseudogene
-	94867486	2	AC097374.1	ENSG00000259848	94947341	transcribed_unprocessed_pseudogene
+	94871430	2	TEKT4	ENSG00000163060	94876823	protein_coding
-	94899566	2	MTCO1P48	ENSG00000237055	94900661	processed_pseudogene
+	94900990	2	MTCO3P45	ENSG00000232128	94901602	processed_pseudogene
+	94912432	2	RPS24P6	ENSG00000233158	94912831	processed_pseudogene
-	94953161	2	AC103563.3	ENSG00000231331	94953593	unprocessed_pseudogene
-	94961047	2	AC103563.4	ENSG00000232594	94961503	unprocessed_pseudogene
-	94964473	2	AC103563.5	ENSG00000233105	94964836	unprocessed_pseudogene
-	94971954	2	AC103563.1	ENSG00000224585	94972167	unprocessed_pseudogene
-	94974544	2	AC103563.6	ENSG00000233447	94974838	unprocessed_pseudogene
+	94991880	2	AC103563.8	ENSG00000235186	94994362	unprocessed_pseudogene
-	95003545	2	RN7SL575P	ENSG00000277591	95003843	misc_RNA
-	95025193	2	AC103563.7	ENSG00000233850	95026709	lncRNA
+	95025677	2	MAL	ENSG00000172005	95053992	protein_coding
-	95051395	2	AC103563.2	ENSG00000231062	95053176	lncRNA
-	95067074	2	AC103563.9	ENSG00000287362	95076900	lncRNA
-	95085369	2	MRPS5	ENSG00000144029	95149434	protein_coding
-	95145000	2	ZNF514	ENSG00000144026	95165413	protein_coding
+	95165432	2	ZNF2	ENSG00000275111	95184317	protein_coding
-	95196449	2	SLC2AXP1	ENSG00000275768	95197357	unprocessed_pseudogene
+	95207535	2	AC092835.1	ENSG00000233757	95259774	protein_coding
+	95274449	2	PROM2	ENSG00000155066	95291308	protein_coding
+	95297327	2	KCNIP3	ENSG00000115041	95386077	protein_coding
-	95368507	2	FABP7P2	ENSG00000235129	95368885	processed_pseudogene
+	95402708	2	FAHD2A	ENSG00000115042	95416616	protein_coding
-	95413456	2	AC009238.3	ENSG00000248821	95414296	unprocessed_pseudogene
+	95434759	2	AC009238.2	ENSG00000233275	95435113	processed_pseudogene
+	95436133	2	AC009238.1	ENSG00000227120	95436556	processed_pseudogene
-	95450310	2	UBTFL5	ENSG00000204705	95451500	unprocessed_pseudogene
-	95460144	2	AC133104.2	ENSG00000277747	95460336	unprocessed_pseudogene
-	95468863	2	AC133104.1	ENSG00000234903	95469778	unprocessed_pseudogene
-	95477164	2	TRIM43B	ENSG00000144010	95484731	protein_coding
+	95485541	2	AC009237.11	ENSG00000238162	95485805	processed_pseudogene
-	95486480	2	AC009237.1	ENSG00000223917	95488627	unprocessed_pseudogene
-	95496022	2	AC009237.10	ENSG00000237308	95496531	processed_pseudogene
+	95502791	2	AC009237.2	ENSG00000224719	95505059	unprocessed_pseudogene
+	95514827	2	TRIM64FP	ENSG00000226185	95520107	unprocessed_pseudogene
-	95525109	2	AC009237.14	ENSG00000272913	95526702	lncRNA
+	95525345	2	AC009237.3	ENSG00000229689	95532405	transcribed_unprocessed_pseudogene
-	95536117	2	AC009237.8	ENSG00000236431	95536495	processed_pseudogene
+	95537969	2	AC009237.15	ENSG00000273305	95538469	lncRNA
-	95542730	2	AC009237.5	ENSG00000233037	95543230	processed_pseudogene
+	95546531	2	OR7E102P	ENSG00000168992	95547545	unprocessed_pseudogene
+	95574901	2	TRIM51JP	ENSG00000232717	95580769	unprocessed_pseudogene
+	95588149	2	AC009237.16	ENSG00000274028	95589253	unprocessed_pseudogene
-	95590969	2	AC009237.4	ENSG00000230083	95591206	processed_pseudogene
+	95592001	2	TRIM43	ENSG00000144015	95599778	protein_coding
+	95606924	2	AC009237.7	ENSG00000236026	95607152	processed_pseudogene
+	95607073	2	AC009237.13	ENSG00000271003	95616592	unprocessed_pseudogene
+	95616492	2	AC009237.12	ENSG00000270193	95617233	processed_pseudogene
+	95625213	2	UBTFL3	ENSG00000204699	95626236	unprocessed_pseudogene
+	95633850	2	AC009237.17	ENSG00000275497	95636106	unprocessed_pseudogene
-	95640181	2	AC009237.6	ENSG00000235959	95640604	processed_pseudogene
-	95641634	2	AC009237.9	ENSG00000236750	95641980	processed_pseudogene
+	95660588	2	AC008268.1	ENSG00000235584	95668727	lncRNA
+	95789654	2	GPAT2P1	ENSG00000237510	95800166	transcribed_unprocessed_pseudogene
-	95807052	2	LINC00342	ENSG00000232931	95835003	lncRNA
-	95836919	2	ANKRD36C	ENSG00000174501	95991831	protein_coding
-	96004563	2	RN7SL210P	ENSG00000275961	96004850	misc_RNA
+	96010551	2	FAHD2CP	ENSG00000231584	96023380	transcribed_unprocessed_pseudogene
-	96021946	2	GPAT2	ENSG00000186281	96039451	protein_coding
-	96112876	2	ADRA2B	ENSG00000274286	96116571	protein_coding
-	96123850	2	ASTL	ENSG00000188886	96138436	protein_coding
-	96143169	2	DUSP2	ENSG00000158050	96145440	protein_coding
-	96145602	2	AC012307.1	ENSG00000228873	96147012	lncRNA
-	96184859	2	STARD7	ENSG00000084090	96208827	protein_coding
+	96208403	2	STARD7-AS1	ENSG00000204685	96243353	lncRNA
-	96248514	2	TMEM127	ENSG00000135956	96265997	protein_coding
+	96266159	2	CIAO1	ENSG00000144021	96274173	protein_coding
-	96274338	2	SNRNP200	ENSG00000144028	96321271	protein_coding
-	96307263	2	AC021188.1	ENSG00000230747	96321731	lncRNA
+	96325317	2	ITPRIPL1	ENSG00000198885	96330517	protein_coding
+	96335766	2	NCAPH	ENSG00000121152	96377091	protein_coding
-	96497646	2	NEURL3	ENSG00000163121	96508109	protein_coding
-	96527940	2	AC013270.1	ENSG00000235480	96532306	lncRNA
+	96536743	2	ARID5A	ENSG00000196843	96552634	protein_coding
-	96593170	2	KANSL3	ENSG00000114982	96642787	protein_coding
+	96642737	2	FER1L5	ENSG00000249715	96704887	protein_coding
-	96705929	2	LMAN2L	ENSG00000114988	96740064	protein_coding
+	96760902	2	CNNM4	ENSG00000158158	96811874	protein_coding
+	96798278	2	MIR3127	ENSG00000264157	96798353	miRNA
-	96812239	2	CNNM3-DT	ENSG00000273265	96813657	lncRNA
+	96816245	2	CNNM3	ENSG00000168763	96835382	protein_coding
-	96824526	2	ANKRD23	ENSG00000163126	96857934	protein_coding
-	96836611	2	ANKRD39	ENSG00000213337	96858016	protein_coding
-	96859718	2	SEMA4C	ENSG00000168758	96870757	protein_coding
-	96875882	2	FAM178B	ENSG00000168754	96986580	protein_coding
+	96912549	2	AC092636.1	ENSG00000286654	96917272	lncRNA
-	96956708	2	RNA5SP101	ENSG00000252845	96956815	rRNA_pseudogene
-	97000436	2	AC079395.3	ENSG00000275094	97001593	unprocessed_pseudogene
-	97008368	2	AC079395.2	ENSG00000273634	97009104	processed_pseudogene
-	97018343	2	AC079395.1	ENSG00000248134	97018604	unprocessed_pseudogene
-	97025981	2	TRIM43CP	ENSG00000144188	97031636	unprocessed_pseudogene
+	97034442	2	AC018892.1	ENSG00000230343	97034706	unprocessed_pseudogene
-	97035461	2	AC018892.2	ENSG00000236847	97037549	unprocessed_pseudogene
+	97046588	2	IGKV2OR2-1	ENSG00000270748	97046891	IG_V_pseudogene
+	97050729	2	IGKV2OR2-2	ENSG00000271402	97051028	IG_V_pseudogene
+	97060128	2	IGKV1OR2-3	ENSG00000204670	97060415	IG_V_pseudogene
+	97081098	2	GPAT2P2	ENSG00000188383	97083249	unprocessed_pseudogene
-	97083583	2	FAHD2B	ENSG00000144199	97094882	protein_coding
+	97094935	2	AC018892.3	ENSG00000279791	97097433	TEC
+	97100587	2	RN7SL313P	ENSG00000275655	97100874	misc_RNA
+	97113153	2	ANKRD36	ENSG00000135976	97264521	protein_coding
+	97281356	2	AC159540.2	ENSG00000277701	97291849	lncRNA
+	97301729	2	AC159540.1	ENSG00000237837	97304151	lncRNA
-	97322137	2	IGKV1OR2-9	ENSG00000271351	97322423	IG_V_pseudogene
-	97331533	2	IGKV2OR2-10	ENSG00000276050	97331843	IG_V_pseudogene
-	97335671	2	IGKV2OR2-7D	ENSG00000271015	97335974	IG_V_pseudogene
+	97348899	2	IGKV3OR2-5	ENSG00000270252	97349179	IG_V_pseudogene
+	97355059	2	IGKV1OR2-6	ENSG00000271569	97355335	IG_V_pseudogene
+	97372532	2	IGKV2OR2-7	ENSG00000270450	97372835	IG_V_pseudogene
+	97376674	2	IGKV2OR2-8	ENSG00000278537	97376973	IG_V_pseudogene
+	97386082	2	IGKV1OR2-11	ENSG00000270187	97386368	IG_V_pseudogene
-	97416165	2	AC092683.1	ENSG00000230606	97433527	lncRNA
+	97421075	2	AC092683.2	ENSG00000278766	97434847	lncRNA
-	97492663	2	ANKRD36B	ENSG00000196912	97589965	protein_coding
-	97523949	2	AC017099.1	ENSG00000235833	97524976	processed_pseudogene
+	97618638	2	AC017099.2	ENSG00000286036	97638417	lncRNA
-	97636780	2	UBTFL6	ENSG00000228970	97637803	unprocessed_pseudogene
+	97646062	2	COX5B	ENSG00000135940	97648383	protein_coding
-	97655939	2	ACTR1B	ENSG00000115073	97664044	protein_coding
+	97664217	2	C2orf92	ENSG00000228486	97703064	protein_coding
-	97664591	2	RNU4-8P	ENSG00000201806	97664731	snRNA
+	97713576	2	ZAP70	ENSG00000115085	97739862	protein_coding
-	97756333	2	TMEM131	ENSG00000075568	97995948	protein_coding
+	97827248	2	HMGN1P36	ENSG00000235734	97827545	processed_pseudogene
-	97913054	2	RNU7-96P	ENSG00000238719	97913117	snRNA
+	98087116	2	VWA3B	ENSG00000168658	98313299	protein_coding
+	98206151	2	ATP5F1BP1	ENSG00000231635	98207724	processed_pseudogene
-	98331389	2	AC092675.1	ENSG00000222000	98356005	lncRNA
+	98346188	2	CNGA3	ENSG00000144191	98398601	protein_coding
+	98346995	2	AC092675.2	ENSG00000227987	98351140	lncRNA
+	98444854	2	INPP4A	ENSG00000040933	98594392	protein_coding
-	98599314	2	COA5	ENSG00000183513	98608515	protein_coding
+	98608579	2	UNC50	ENSG00000115446	98618515	protein_coding
-	98619106	2	MGAT4A	ENSG00000071073	98731132	protein_coding
+	98694109	2	YWHAQP5	ENSG00000236564	98695490	processed_pseudogene
-	98761098	2	LINC02611	ENSG00000226791	98775361	lncRNA
+	98782410	2	RNU4-84P	ENSG00000201070	98782548	snRNA
-	98793846	2	CRACDL	ENSG00000196872	98936259	protein_coding
-	98840675	2	RNU7-46P	ENSG00000238830	98840736	snRNA
-	98997261	2	TSGA10	ENSG00000135951	99154964	protein_coding
+	99102018	2	SMC3P1	ENSG00000231822	99102752	processed_pseudogene
+	99141485	2	AC079447.1	ENSG00000241962	99322741	protein_coding
+	99141707	2	C2orf15	ENSG00000273045	99151669	protein_coding
+	99154955	2	LIPT1	ENSG00000144182	99163157	protein_coding
+	99154998	2	AC092587.1	ENSG00000273155	99195298	protein_coding
-	99161427	2	MITD1	ENSG00000158411	99181058	protein_coding
+	99181152	2	MRPL30	ENSG00000185414	99199561	protein_coding
-	99242246	2	LYG2	ENSG00000185674	99255282	protein_coding
-	99284238	2	LYG1	ENSG00000144214	99304742	protein_coding
-	99318982	2	TXNDC9	ENSG00000115514	99340702	protein_coding
+	99337371	2	EIF5B	ENSG00000158417	99401326	protein_coding
-	99400475	2	REV1	ENSG00000135945	99490035	protein_coding
+	99405218	2	AC018690.1	ENSG00000273306	99405843	lncRNA
-	99545419	2	AFF3	ENSG00000144218	100192428	protein_coding
+	100104919	2	AC092667.1	ENSG00000230393	100107504	lncRNA
+	100208254	2	LINC01104	ENSG00000232084	100251484	lncRNA
-	100271875	2	LONRF2	ENSG00000170500	100322501	protein_coding
-	100370255	2	CYCSP7	ENSG00000269383	100370545	processed_pseudogene
+	100377421	2	AC012493.1	ENSG00000270699	100377532	processed_pseudogene
-	100391860	2	CHST10	ENSG00000115526	100417668	protein_coding
+	100425348	2	RALBP1P2	ENSG00000238029	100426107	processed_pseudogene
+	100470482	2	NMS	ENSG00000204640	100483280	protein_coding
+	100509277	2	ARPP19P2	ENSG00000204637	100509612	processed_pseudogene
+	100562993	2	PDCL3	ENSG00000115539	100576739	protein_coding
-	100591150	2	HMGN2P22	ENSG00000227259	100591324	processed_pseudogene
+	100603752	2	LINC01849	ENSG00000234988	100611542	lncRNA
-	100642444	2	AC092845.1	ENSG00000287832	100652567	lncRNA
+	100660199	2	NANOGNBP1	ENSG00000226034	100660678	processed_pseudogene
-	100669892	2	LINC01868	ENSG00000234169	100676038	lncRNA
-	100722221	2	AC092168.1	ENSG00000228488	100722882	lncRNA
+	100739958	2	AC092168.3	ENSG00000286737	100747391	lncRNA
+	100820139	2	NPAS2	ENSG00000170485	100996829	protein_coding
+	100822661	2	AC092168.2	ENSG00000232034	100847220	lncRNA
-	100970767	2	NPAS2-AS1	ENSG00000230140	100977766	lncRNA
-	100993676	2	AC016738.1	ENSG00000223947	101002244	lncRNA
+	101002229	2	RPL31	ENSG00000071082	101024032	protein_coding
-	101007228	2	TBC1D8	ENSG00000204634	101252866	protein_coding
+	101068378	2	BBIP1P1	ENSG00000271532	101068656	processed_pseudogene
+	101151660	2	TBC1D8-AS1	ENSG00000272902	101155412	lncRNA
+	101252886	2	CNOT11	ENSG00000158435	101270316	protein_coding
-	101271219	2	RNF149	ENSG00000163162	101308701	protein_coding
-	101272936	2	SNORD89	ENSG00000212283	101273049	snoRNA
+	101309450	2	MIR5696	ENSG00000264857	101309534	miRNA
-	101345550	2	CREG2	ENSG00000175874	101387503	protein_coding
+	101375587	2	AC092570.1	ENSG00000226058	101376055	processed_pseudogene
-	101397359	2	RFX8	ENSG00000196460	101475112	protein_coding
+	101479390	2	LINC01870	ENSG00000223826	101486822	lncRNA
-	101509530	2	RPS6P3	ENSG00000237549	101510222	processed_pseudogene
-	101520834	2	PRCPP1	ENSG00000232556	101521976	processed_pseudogene
+	101535601	2	AC093894.1	ENSG00000286047	101539077	lncRNA
-	101551592	2	AC093894.2	ENSG00000286101	101567901	lncRNA
+	101696850	2	MAP4K4	ENSG00000071054	101894689	protein_coding
+	101962056	2	LINC01127	ENSG00000281162	101987167	lncRNA
+	101991960	2	IL1R2	ENSG00000115590	102028544	protein_coding
+	102037963	2	AC007271.1	ENSG00000287771	102058190	lncRNA
+	102064544	2	IL1R1	ENSG00000115594	102179874	protein_coding
-	102172621	2	IL1R1-AS1	ENSG00000226925	102182108	lncRNA
+	102187006	2	IL1RL2	ENSG00000115598	102240002	protein_coding
-	102249857	2	FAM183DP	ENSG00000205716	102250255	processed_pseudogene
+	102311502	2	IL1RL1	ENSG00000115602	102352037	protein_coding
+	102311529	2	IL18R1	ENSG00000115604	102398777	protein_coding
